ID;ID;City;Todo
0;1;Amsterdam;"First of all we want to thank you all for choosing our experience. We are proud to announce that we have won an award from Airbnb for the most popular experience! Besides that we received more than 75 different nationalities on board. This would never have been possible without you ❤️

 
Do you want to experience Amsterdam in a more authentic way? Especially in winter time the canals are overwhelming beautiful. The sun is low and sometimes the roofs of the storehouses, churches and monumental houses are covered with snow. You don’t have to be afraid for the cold, because our heated cushions, blankets and stove will guarantee you a comfortable boat trip.

So step aboard on our stylish luxury sloop with enough space for everyone and discover the city like a real explorer. We’ll welcome you with enough cold and hot drinks and delicious Dutch snacks and will give you an unforgettable experience. Lean back, relax and listen to our amazing stories about the secrets of Amsterdam. Because with us you are not just a tourist, but a guest and friend."
1;2;Amsterdam;"We will have an exclusive Morning boat tour through the Amsterdam canals before the city comes alive. Discovering the stillness of the canals while enjoying the early morning fog, the singing birds and the beautiful morning sun. 

In the early morning the reflection of the houses are accentuated in the canal water, like a natural mirror creating a dreamlike reversed image of reality. A wonderful sensation. 

We offer an Early Morning boat tour at 8 am (90 minutes) and 10 am (75 minutes) including food & drinks: coffee, tea, fresh orange juice and small pastries on board. As of 1 April  2020 we offer a 90-minutes Amsterdam lunch boat with prosecco. For a private tour please contact us at info@captaindave.nl. Book now!  

Your captain will be the host and guide in-one and give you a totally unique perspective of the city in a beautiful all season fully electric saloon boat. Toilet on board. The boat is for any weather condition comfortable. We start the cruise by a minimum of 4 persons. Rain or shine!

See you on board!
Captain Dave

#captaindaveamsterdam
                        
Cruise like a local — Morning boat cruise Amsterdam — Be The Only One on the Amsterdam Canals"
2;3;Amsterdam;"*PLEASE NOTE THIS IS A FREE TOUR CONCEPT*
(1 euro is to ensure your spot for airbnb booking fee) :)

Everyone does tours about the Pilgrim Fathers in Leiden but everyone forgets about FOUNDING Father John Adams' time here! His mission to the Netherlands to secure a Dutch loan during the American Revolution is one of the most significant and forgotten about chapters in the war and Leiden was undoubtedly his favorite city. The loan that he secured helped save the United States in its infancy!

Join me on a stroll through the Leiden of 1780 and discover the places Adams stayed, his place of worship, his sons' residence (one of them being the 6th President of the United States!) and the houses of his dearest friends and allies. We will also learn about his connection to the Pilgrim Fathers as well as other major sites."
3;4;Amsterdam;"For our Winter Warmer Premium Cruise, we invite you for a 2 hour all-inclusive adventure aboard one of our fully customised, handcrafted electric boats. Together, we'll enjoy the unique ambience of the canals with like-minded visitors and locals. We stick to a small group of guests to ensure a spacious and personalised experience.

During the trip you’ll be presented with an extensive selection of Dutch snacks, to match our high-end open bar with seasonal local craft beers from various Amsterdam breweries, handpicked quality wines, soft drinks and juices.

Our boats are covered for the winter, with heating and big fluffy blankets.

We begin the adventure in the beautiful Jordaan; one of our favourite districts away from the crowds. We'll explore a tailored route through the quaint canals which we've cruised for the past 15 years, sharing fun facts and stories such as canal life, houseboat history, Amsterdam culture.

Your expert captain will create the finest blend of information and relaxation ​explaining lifestyle from a modern perspective and showing off many other highlights along the way!"
4;5;Amsterdam;I am a social media photographer, and I would love to take you on a tour of some amazing, lesser-known, hidden locations that will show you the picturesque Amsterdam that I've discovered over the years. I will share my knowledge, tips, and tricks with you on taking photos. We will start our tour on Haarlemmerplein, where we will introduce ourselves, discuss your expectations and take our first photos. Then we will go out to capture the city, focusing on architecture, city highlights, cool spots and details like vintage cars and of course - on you! I will point these out for you so you don't miss any potential Instagram-celebrity-career-starter photo. I will also help you get the best angles and light, and show you what the result should look like. During the walk, we will circle the inner city of Amsterdam and end up on Centraal Station. I will share my tips for editing photos and hashtags too, so you can get your beautiful results out there to lots of people. You do not need expensive equipment and software to capture breathtaking photos, especially not in Amsterdam!
5;6;Amsterdam;"Hi, here Captain Dave! Our small group cruises are exclusive and non-scripted; we decide on the group which route fits the best. Me and my crew members will go out of our ways to ensure you will have a unique experience.”

Cruise like a local is an informative, fun and entertaining cruise for everyone. We cruise in a small group like locals do, with drinks & food and good company!  The Captain will be your host and personable guide in-one. 

>> Start time & Duration <<

—Canals to ourselves, departure: 08:00 am — No other boats on the canals!
90 minutes | 37 EUR | includes coffee, tea, fresh OJ, small pastries & small gift

—Before the hustle & bustle, departure: 10.00 am
75 minutes | 29 EUR | includes coffee, tea, fresh OJ and small pastries 

—Afternoon, departure: 02:00 pm —  03:30 pm 
—Evening, departure: 07:30 pm - 09:00 pm
75 minutes | 29 EUR | includes alcoholic and non-alcoholic drinks 

—Afternoon Deluxe, departure: 05:30 pm  
—Late Night Deluxe, departure: 10:30 pm
90 minutes | 39 EUR | includes (non)-alcoholic drinks and Dutch bitterballen (beef & veggie) from the Famous Bar Bitterbal 

The boat is cozy and very comfortable; roof can be on or off depending on the weather. It’s a 100% electric, emission-free boat with permit and restroom on board (a luxury). Rain or Shine! 

See you on board! 
Cheers Captain Dave Amsterdam

My Instagram
#captaindaveamsterdam"
6;7;Amsterdam;"Free wine and beer for all!!!! 
Amazing fun!! 
Great boat tour!!  
  
Come and sit and relax with a warm blanket and free beer and wine, served with little traditional dutch snacks during our 45min tour.

So you don't mis anything, our boat has been specially fitted with a unique Panoramic glass roof. For the best view whatever the weather. 
Our clear plexiglass roof gives our guests the best available covered view what ever the weather!!!!

During the tour we will have a great view of the city! while enjoying a little music, a few drinks, and a lot of fun!!!!

: During the tour our guests are encouraged to ask questions and interact with the guide and each other and have a great time.!!!"
7;8;Amsterdam;"Treat yourself to the most generous and genuine Dutch food experience of Amsterdam and join a group of maximum 10 for a 4 hours feast of eating, chatting, laughing and learning with a Dutch and lifetime Amsterdammer.  

Get to know Amsterdam and the Dutch by tasting typical Dutch delicacies and listening to the fascinating stories behind them at 7 fantastic (inside) food stops. Not the tourist places but where we go ourselves to enjoy the best and tastiest that the Jordaan neighbourhood has to offer.

In between tastings we show you the beloved and famous 17th century Jordaan with its typical Amsterdam canals and houses away from the bustle of the city center and the tourist traps. We will tell you about the history and culture of Amsterdam in a fun and interactive way that will help you understand the city and the Dutch. Walking is at a leisurely pace and in total you walk approximately 2 kilometers. 

Ask all your possible questions about what to see or do in Amsterdam so that you can get the best out of your stay. We all live here for at least 25 years so it would be strange if we don't have an answer :) 

Do you want to book this tour private or let us create a custom tour for up to 30 guests in English, German or Dutch? Let us know!"
8;9;Amsterdam;"Discover the real Netherlands in this amazing tour through Zaanse Schans, Edam, Volendam, and Marken – the jewels of the Dutch countryside.

Our bus will pick you up near Central Station in Amsterdam. The visit starts in Zaanse Schans, where you will be able to take pictures of typical Dutch windmills that are still in use today. Afterward, we will drive to the Waterland area, passing through the beautiful villages from this part of the country: Edam, Volendam, and Marken. In Edam, we will walk through historic sites like the square where the famous Cheese Market used to take place. Then, near Volendam, we will visit a cheese producer, where the cheese master will explain how they produce Gouda and Edam cheeses. In the clog factory, you will discover the secrets of this typical Dutch shoe. Then, travel back in time to the 17th century as we walk by cozy fishermen houses in Marken, the fishing harbor, and the protestant church.

Join us for an unforgettable day visiting Edam, Volendam, Marken, and Zaanse Schans."
9;10;Amsterdam;At  08:30 pm, we will meet at a nice bar in the city center of Amsterdam (Hard Rock Cafe) . Here, we can get to know the other participants and have a drink. Then at 21:30, we will go to one of the biggest casino/entertainment centers in Amsterdam and have a drink on the house! Around 10:45 pm, it is time to go to the clubs!  I cannot disclose the name of the locations yet, as that will take away the element of uniqueness!  Around 11: 30 am, we will go to a bigger club, where you can party until 4 pm. We will provide you with the entrance tickets for these locations rather you want to go to a club for locals or a more international club (depending on what you prefer)!
